eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.1,0.35,2,0.06470106568412796,0.025993399481318437,0.7355368579290495
0.1,0.35,4,0.06543358866719831,0.024776566161512022,0.7400547239517838
0.1,0.35,8,0.061970237285328855,0.024244127751115476,0.6997861381501147
0.1,0.35,9,0.06445673664806995,0.025789517476523933,0.7366798484452254
0.1,0.35,7,0.06497749975116049,0.025739269715808814,0.7312888055317689
0.1,0.35,6,0.06307248954602705,0.024398371443424518,0.706933539158735
0.1,0.55,0,0.037290936822779876,0.018420069713628195,0.4277569332219743
0.1,0.35,10,0.060237430479156556,0.02275020107410843,0.6807096910499407
0.1,0.55,1,0.03524754373142337,0.01710030321963564,0.4083329162255696
0.1,0.55,5,0.03644741656266902,0.024601019274308474,0.4183538483918528
0.1,0.55,3,0.038102542862380885,0.0176517963296439,0.4431672437234664
0.1,0.55,2,0.03733377270365144,0.01865929966272607,0.43379343312091545
0.1,0.55,4,0.03340520230468427,0.014694336292574661,0.3870104478674156
0.1,0.55,8,0.03543949134092651,0.018571284106572578,0.41154261705914474
0.1,0.55,6,0.036991411612814135,0.015861653797550786,0.43238858238597155
0.1,0.55,9,0.034187804579969096,0.01801170341832334,0.39840829839529945
0.1,0.55,7,0.03566924103274588,0.017598111805818988,0.4126293665722238
0.1,0.55,10,0.03563063032757994,0.019425864215556657,0.41292427442263796
0.1,0.8,0,0.01926916815464153,0.011058759871318017,0.22942397312132853
0.1,0.8,5,0.017873525614548243,0.011702799423586823,0.21086017753788464
0.1,0.8,1,0.020846590638690876,0.015589392371644088,0.2484019538555829
0.1,0.8,2,0.02033207377735191,0.011871560128879246,0.24027969351192016
0.1,0.8,3,0.01786789595940114,0.01047538327468093,0.21199814697334107
0.1,0.8,4,0.02019892520293292,0.01087520324832714,0.23738622651628882
0.1,0.8,8,0.01865107594061728,0.010792390213196515,0.21876908000953768
0.1,0.8,9,0.021267909576130423,0.012022596680588903,0.2524546639630497
0.1,0.8,7,0.018938551599659972,0.013198630106130238,0.2238173304883015
0.1,0.8,6,0.02021324888783016,0.011638514324026749,0.23800278765070776
0.1,1.0,0,0.01424565623830079,0.00997211237067308,0.17205439403972922
0.1,0.8,10,0.0203742732078981,0.014522542778830607,0.23843714061346677
0.1,1.0,1,0.016093365572586286,0.011722780392091684,0.1926996912124959
0.1,1.0,2,0.014965099606868601,0.01002346789768608,0.1745879331176626
0.1,1.0,5,0.017565363257313234,0.012241908888130943,0.205320085824597
0.1,1.0,3,0.01664942320931287,0.01481082770052515,0.19830039541542666
0.1,1.0,4,0.014481065421132344,0.011139589753283914,0.17115826781998333
0.1,1.0,8,0.014393040841069238,0.010745180613327597,0.16917563748847791
0.1,1.0,6,0.013896670717020916,0.010293882007583537,0.16615072443878767
0.1,1.0,7,0.013535194526924626,0.009095373844032409,0.16000271323772539
0.1,1.0,9,0.012789059692854283,0.009151254720522256,0.15337966858226806
0.2,0.0,0,0.5209664764149875,0.058710074136444045,4.4396212490407425
0.1,1.0,10,0.01305886864751007,0.010278731751022254,0.1533669527416164
0.2,0.0,1,0.5152959974601673,0.06501424944023217,4.382617545810489
0.2,0.0,5,0.5210026630486041,0.06924885600980511,4.438950222574693
0.2,0.0,3,0.5143745139610957,0.06793714683900538,4.382938643236265
0.2,0.0,2,0.5129802817607232,0.0648211508669509,4.400854560768584
0.2,0.0,4,0.5156564189842231,0.06801741866653538,4.39608439446807
0.2,0.0,7,0.5093635670115029,0.06381766558392181,4.367449848128995
0.2,0.0,8,0.5073652921441456,0.07282997358732098,4.336560378003369
0.2,0.0,6,0.5123261478071509,0.05967712979686502,4.381985385616104
0.2,0.0,9,0.5250492480283276,0.06962547707081258,4.455813360988696
0.2,0.0,10,0.5066089894650221,0.05691553874846799,4.354841702227651
0.2,0.02,1,0.46507232372200114,0.07225964764900702,4.076541175143191
0.2,0.02,0,0.4653193694083715,0.07197732000741093,4.071100055641184
0.2,0.02,5,0.4545506982910561,0.0670504068398072,4.018423938299486
0.2,0.02,2,0.4696222346678809,0.06830539397586324,4.107371932182406
0.2,0.02,3,0.4610827064615775,0.061694852633308324,4.054862363862292
0.2,0.02,4,0.47595505816361977,0.06151676045626394,4.151923195403614
0.2,0.02,9,0.4646995470772921,0.06430304841085291,4.092769434571915
