run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
9,901000,0.2747401055399298,0.0632980902676711,3.1415062316612694,0.3286275058961787,0.32,1055,0.0749089785379936,0.0602317265388779,0.1127962085308056,9.355,2.4579117268334905,0.2904605086086345,0.1908639867734694,0.2904605086086345,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
1,101000,0.2819212013625887,0.051998913283609,3.25828726875656,0.3382107335156477,0.31,1151,0.000956732327948,-0.0490109552961254,0.0877497827975673,9.055,2.5005243155604338,0.2822201772833267,0.0373340371396952,0.2822201772833267,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
3,301000,0.2760405569697022,0.0554984164189703,3.193615809404495,0.3489403374858584,0.45,1150,-0.1394702283582216,-0.0967969322255908,0.1782608695652174,12.77,2.489323824205206,0.2871340715184979,0.1228283091914927,0.2871340715184979,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
4,401000,0.2811612643554427,0.0533870464224862,3.30928059070747,0.3655661378653687,0.45,1155,0.0971904157003763,0.1583779213325177,0.2086580086580086,13.76,2.537190536317651,0.3076670327839443,-0.1537838357337947,0.3076670327839443,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
2,201000,0.2866769491717603,0.0545938841512699,3.3115066010550414,0.3492425880653876,0.27,1106,0.1876742880777218,0.1730190212406665,0.0705244122965642,7.845,2.500527811015496,0.3008151650726579,0.1100102328725976,0.3008151650726579,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
6,601000,0.2760944109310697,0.0526128112114618,3.168700462108069,0.3785753795469293,0.34,1133,-0.0916664622641834,0.1188692821794953,0.1262135922330097,10.36,2.4704741451271603,0.2871969752275423,-0.0580624442699947,0.2871969752275423,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
7,701000,0.2832846725482987,0.0556435797249438,3.261940057482842,0.3371196656231479,0.37,1098,-0.1978758412409435,-0.0074666551484514,0.1256830601092896,10.53,2.4815256293225074,0.2873228630927658,0.0098462084783373,0.2873228630927658,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
10,1001000,0.2808996210714168,0.0580646686142891,3.244926107507575,0.3256476095326437,0.35,1170,-0.0270495992489475,0.1267623820898054,0.1213675213675213,10.64,2.4741984749772987,0.2667977758681243,0.1546483722108447,0.2667977758681243,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
5,501000,0.2714364460690316,0.0479159651245414,3.165355876621464,0.3594373759786357,0.31,1134,0.3874259476960666,0.193951791619384,0.1005291005291005,9.87,2.471691339071143,0.2877109822877545,-0.2474677286128996,0.2837507000011155,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
8,801000,0.2732435373988492,0.0577715944698297,3.2847838496639064,0.3644649088775842,0.39,1097,-0.0516894693494981,-0.0049522419258598,0.1412944393801276,10.855,2.5678279381137656,0.2803525707385348,0.1226226456346089,0.2820726789561132,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
0,1000,0.2693117570227366,0.0587334441080768,3.1928557634960884,0.347475522766208,0.33,1123,0.0924276971132247,0.0844153653143485,0.095280498664292,9.655,2.5569894150704204,0.2680220959729859,0.2113682420261515,0.2655206135248705,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
9,901000,0.2818256187734071,0.0599092344475512,3.281587269213448,0.3242071250153483,0.32,1055,-0.1003960166710015,0.0056984213010259,0.1023696682464455,9.39,2.49878672766273,0.2958718772468335,0.1405677163625126,0.2904605086086345,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
1,101000,0.2755778801068743,0.0482541791649769,3.2672833537740487,0.3130714804598263,0.3,1151,-0.0261512473351163,-0.0394492211114424,0.0825369244135534,8.8,2.5442355209813377,0.2906280857819171,0.0387661865405745,0.2822201772833267,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
3,301000,0.2692095793799796,0.054065460143465,3.1712128484913364,0.3426410620736266,0.43,1150,0.0306031963177531,0.0083286995931733,0.1747826086956521,12.615,2.529064175735604,0.2912578135291102,-0.0104170219931278,0.2871340715184979,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
4,401000,0.2744213394723938,0.0592934070422939,3.2728378695394924,0.3439602150549511,0.42,1155,0.1049046763497824,0.0203169193045342,0.1818181818181818,12.99,2.572685786294151,0.3115978177965871,0.0177086480394292,0.3076670327839443,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.5,2.0,3.0
