point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
cooperativo,0.6,0.02,93,0.49638830563632047,0.005910642463240948,11,0.0034929664825639976
cooperativo,0.6,0.02,94,0.4972894992537278,0.004933115883202749,11,0.0029152851896886703
cooperativo,0.6,0.02,95,0.497230558771693,0.004673664322693873,11,0.002761959115519483
cooperativo,0.6,0.02,96,0.49852711822261264,0.006035254656017612,11,0.003566607582561954
cooperativo,0.6,0.02,97,0.5007149242771616,0.007621456557793887,11,0.00450399300418764
cooperativo,0.6,0.02,98,0.4978728488304661,0.0056360360452803356,11,0.003330684459958382
cooperativo,0.6,0.02,99,0.49920649020980684,0.0055565490509298324,11,0.003283710648093974
cooperativo,0.6,0.02,100,0.4996746840313572,0.005598068029384783,11,0.003308246796412091
cooperativo,0.6,0.02,101,0.49978795587084457,0.006642706558022754,11,0.003925588716452139
cooperativo,0.6,0.02,102,0.49844677380556895,0.004993595281354616,11,0.002951026230014476
cooperativo,0.6,0.02,103,0.4997214446007195,0.00647639199497936,11,0.003827303090501028
cooperativo,0.6,0.02,104,0.50160461416636,0.005381860372806925,11,0.003180476236376208
cooperativo,0.6,0.02,105,0.5008266463627818,0.0067819956800868764,11,0.004007903327390214
cooperativo,0.6,0.02,106,0.5009479301300122,0.0062657728885968525,11,0.0037028351525810804
